Date(DD-MM-YYYY),Serial Number of system during year,Basin of origin,Name,Time (UTC),Latitude (lat.),Longitude (lon.),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar,Unnamed: 14,Unnamed: 15,Unnamed: 16,Diameter-Size of outermost closed isobar,"Pressure Drop(hPa)[or""delta P""]",Diameter/Size of outermost closed isobar(in degree)
1996-10-26,199606,ARB,,1200,20.0,70.0,1.5,1002, 25,-,D,    ,,,,,,,
1996-10-26,199606,ARB,,1800,20.0,70.0,1.5,1002, 25,-,D,    ,,,,,,,
1996-10-27,199606,ARB,,0000,20.0,70.0,1.5,1002, 25,-,D,    ,,,,,,,
1996-10-27,199606,ARB,,0300,19.5,70.0,1.5,1002, 25,-,D,,,,,,,,
1996-10-27,199606,ARB,,0600,19.5,70.0,1.5,1002, 25,-,D,    ,,,,,,,
1996-10-27,199606,ARB,,0900,19.0,70.0,1.5,1002, 25,-,D,,,,,,,,
1996-10-27,199606,ARB,,1200,18.5,69.5,1.5,1002, 25,-,D,    ,,,,,,,
1997-11-10,199709,ARB,,1800,11.0,69.0,1.5,1006, 25, 4,D,,,,,,,,
1997-11-11,199709,ARB,,0000,11.0,69.0,1.5,1007, 25, 5,D,,,,,,,,
1997-11-11,199709,ARB,,0300,11.5,68.0,2.0,1007, 30, 5,DD,,,,,,,,
1997-11-11,199709,ARB,,0600,12.0,66.0,2.0,1007, 30, 5,DD,,,,,,,,
1997-11-11,199709,ARB,,1200,13.0,65.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-11,199709,ARB,,1800,13.0,65.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-12,199709,ARB,,0000,13.0,65.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-12,199709,ARB,,0300,13.5,66.0,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-12,199709,ARB,,0600,14.0,66.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-12,199709,ARB,,1200,14.0,64.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-12,199709,ARB,,1800,14.5,64.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-13,199709,ARB,,0000,14.5,63.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-13,199709,ARB,,0300,14.5,63.5,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-13,199709,ARB,,0600,14.5,63.0,2.0,1005, 30, 5,DD,,,,,,,,
1997-11-13,199709,ARB,,0900,15.0,63.0,1.5,1006, 25, 4,D,,,,,,,,
1998-06-04,199802,ARB,,0600,10.5,69.5,1.5,1004, 25, 4,D,    ,,,,,,,
1998-06-04,199802,ARB,,1200,11.0,69.0,2.0,1004, 30, 6,DD,    ,,,,,,,
1998-06-05,199802,ARB,,0300,11.0,70.0,2.0,1004, 30, 6,DD,    ,,,,,,,
1998-06-05,199802,ARB,,0600,11.5,70.5,2.0,1000, 30, 6,DD,    ,,,,,,,
1998-06-05,199802,ARB,,0900,12.5,70.0,2.5, 998, 35, 8,CS,    ,,,,,,,
1998-06-05,199802,ARB,,1200,12.0,70.0,2.5, 998, 35, 8,CS,    ,,,,,,,
1998-06-05,199802,ARB,,1800,12.0,69.5,2.5, 996, 35, 8,CS,    ,,,,,,,
1998-06-06,199802,ARB,,0000,12.5,69.0,2.5, 996, 35, 8,CS,    ,,,,,,,
1998-06-06,199802,ARB,,0300,12.5,69.0,3.0, 996, 45,10,CS,    ,,,,,,,
1998-06-06,199802,ARB,,0600,12.5,69.0,3.5, 989, 55,15,SCS,    ,,,,,,,
1998-06-06,199802,ARB,,1200,13.0,69.0,3.5, 987, 55,15,SCS,    ,,,,,,,
1998-06-06,199802,ARB,,1800,13.5,68.5,3.5, 991, 55,15,SCS,    ,,,,,,,
1998-06-07,199802,ARB,,0000,14.0,68.0,3.5, 989, 55,15,SCS,    ,,,,,,,
1998-06-07,199802,ARB,,0300,14.5,68.0,3.5, 989, 55,15,SCS,    ,,,,,,,
1998-06-07,199802,ARB,,0600,15.0,68.0,3.5, 989, 55,15,SCS,    ,,,,,,,
1998-06-07,199802,ARB,,0900,15.5,68.0,4.0, 979, 65,21,SCS,    ,,,,,,,
1998-06-07,199802,ARB,,1200,16.0,68.0,4.5, 970, 80,30,VSCS,    ,,,,,,,
1998-06-07,199802,ARB,,1800,16.5,68.0,4.5, 970, 80,30,VSCS,    ,,,,,,,
1998-06-08,199802,ARB,,0000,17.5,68.0,4.5, 970, 80,30,VSCS,    ,,,,,,,
1998-06-08,199802,ARB,,0300,18.0,67.5,4.5, 970, 80,30,VSCS,    ,,,,,,,
1998-06-08,199802,ARB,,0600,18.5,68.0,5.0, 970, 90,40,ESCS,    ,,,,,,,
1998-06-08,199802,ARB,,1200,19.5,68.0,5.0, 958, 90,40,ESCS,    ,,,,,,,
1998-06-08,199802,ARB,,1800,20.5,68.5,5.0,958,90,40,ESCS,    ,,,,,,,
1998-06-09,199802,ARB,,0000,21.5,69.0,5.0, 958,90,40,ESCS,    ,,,,,,,
1998-06-09,199802,ARB,,0300,22.0,69.5,-,968,80,30,VSCS,Over,land,,,,,,
1998-06-09,199802,ARB,,0600,22.5,69.5,4.5,970,75,22,VSCS,,,,,,,,
1998-06-09,199802,ARB,,1200,23.5,70.5,-,982,55,12,SCS,Over,land,,,,,,
1998-06-09,199802,ARB,,1800,24.5,71.5,-,990,40,8,CS,    ,,,,,,,
1998-06-10,199802,ARB,,0000,26.0,73.0,-,992,30,6,DD,    ,,,,,,,
1998-06-10,199802,ARB,,0300,26.5,73.5,-,994,30,5,DD,    ,,,,,,,
1998-06-10,199802,ARB,,0600,27.0,74.0,-,995,30,5,DD,    ,,,,,,,
1998-06-10,199802,ARB,,0900,27.5,75.0,-,996,25,3,D,    ,,,,,,,
1998-10-06,199804,ARB,,1200,14.0,69.0,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-06,199804,ARB,,1800,14.0,69.0,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-07,199804,ARB,,0000,14.0,69.0,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-07,199804,ARB,,0300,14.0,69.0,1.5,1004, 25, 4,D,    ,,,,,,,
1998-10-07,199804,ARB,,0600,14.0,68.0,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-07,199804,ARB,,1200,14.0,68.0,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-07,199804,ARB,,1800,14.0,67.5,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-08,199804,ARB,,0000,14.0,67.0,2.0,1000, 30, 6,DD,    ,,,,,,,
1998-10-08,199804,ARB,,0300,14.0,67.0,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-10-08,199804,ARB,,0600,14.0,67.0,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-10-08,199804,ARB,,1200,14.0,66.0,2.0, 998, 30, 6,DD,    ,,,,,,,
1998-10-08,199804,ARB,,1800,15.0,65.5,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-10-09,199804,ARB,,0000,15.0,64.5,2.0,1000, 30, 6,DD,    ,,,,,,,
1998-10-09,199804,ARB,,0300,15.0,64.5,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-10-09,199804,ARB,,0600,15.0,64.0,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-10-09,199804,ARB,,1200,15.0,63.5,1.5,1004, 25, 4,D,    ,,,,,,,
1998-10-11,199805,ARB,,1200,14.0,67.5,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-11,199805,ARB,,1800,15.0,66.5,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-12,199805,ARB,,0000,15.0,66.0,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-12,199805,ARB,,0300,14.5,66.5,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-12,199805,ARB,,0600,15.0,65.0,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-12,199805,ARB,,0900,14.5,66.5,2.0, 998, 30, 6,DD,    ,,,,,,,
1998-10-12,199805,ARB,,1200,15.0,66.0,2.0, 998, 30, 6,DD,    ,,,,,,,
1998-10-12,199805,ARB,,1800,15.0,65.5,2.0, 998, 30, 6,DD,    ,,,,,,,
1998-10-13,199805,ARB,,0000,15.0,65.5,2.0, 998, 30, 6,DD,    ,,,,,,,
1998-10-13,199805,ARB,,0300,15.5,65.0,1.5, 998, 30, 6,DD,    ,,,,,,,
1998-10-13,199805,ARB,,0600,15.5,64.5,1.5, 998, 30, 6,DD,    ,,,,,,,
1998-10-13,199805,ARB,,1200,16.0,64.0,1.5, 998, 25, 6,D,    ,,,,,,,
1998-10-13,199805,ARB,,1800,16.0,64.0,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-14,199805,ARB,,0000,16.5,63.5,1.5,1002, 25, 4,D,    ,,,,,,,
1998-10-14,199805,ARB,,0300,17.0,63.0,1.5,1004, 25, 4,D,    ,,,,,,,
1998-10-14,199805,ARB,,0600,17.0,62.5,1.5,1004, 25, 4,D,    ,,,,,,,
1998-10-14,199805,ARB,,1200,17.5,62.0,1.5,1004, 25, 4,D,    ,,,,,,,
1998-10-14,199805,ARB,,1800,16.5,61.0,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-15,199805,ARB,,0000,16.5,62.5,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-15,199805,ARB,,0300,16.0,63.0,1.5,1000, 25, 4,D,    ,,,,,,,
1998-10-15,199805,ARB,,0600,16.0,63.5,1.5, 998, 25, 4,D,    ,,,,,,,
1998-10-15,199805,ARB,,1200,16.5,64.0,2.0, 994, 30, 6,DD,    ,,,,,,,
1998-10-15,199805,ARB,,1800,16.5,64.0,2.0, 996, 30, 6,DD,    ,,,,,,,
1998-10-16,199805,ARB,,0000,17.0,64.5,2.0, 996, 30, 6,DD,    ,,,,,,,
1998-10-16,199805,ARB,,0300,17.0,64.5,2.0, 996, 30, 6,DD,    ,,,,,,,
1998-10-16,199805,ARB,,0600,18.5,66.0,2.0, 998, 30, 6,DD,    ,,,,,,,
1998-10-16,199805,ARB,,1200,19.0,68.0,2.5, 996, 35, 8,CS,    ,,,,,,,
1998-10-16,199805,ARB,,1800,20.0,69.5,2.5, 996, 35, 8,CS,    ,,,,,,,
1998-10-17,199805,ARB,,0000,20.5,70.0,2.5, 998, 35, 8,CS,    ,,,,,,,
1998-10-17,199805,ARB,,0300,22.5,73.0,,    ,   ,,DD,Over,land,,,,,,
1998-12-13,199810,ARB,,0000,11.0,68.5,1.5,1004, 25, 4,D,    ,,,,,,,
1998-12-13,199810,ARB,,0300,11.0,68.5,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-12-13,199810,ARB,,0600,11.2,68.3,2.0,1000, 30, 6,DD,    ,,,,,,,
1998-12-13,199810,ARB,,0900,11.5,68.0,2.5,1000, 35, 8,CS,    ,,,,,,,
1998-12-13,199810,ARB,,1200,12.0,67.5,2.5,1000, 35, 8,CS,    ,,,,,,,
1998-12-13,199810,ARB,,1800,12.5,67.5,2.5,1000, 35, 8,CS,    ,,,,,,,
1998-12-14,199810,ARB,,0000,12.5,67.5,2.5,1000, 35, 8,CS,    ,,,,,,,
1998-12-14,199810,ARB,,0300,13.0,67.5,3.0, 998, 45,10,CS,    ,,,,,,,
1998-12-14,199810,ARB,,0600,13.2,67.3,3.0, 998, 45,10,CS,    ,,,,,,,
1998-12-14,199810,ARB,,0900,13.5,67.0,3.5, 993, 55,15,SCS,    ,,,,,,,
1998-12-14,199810,ARB,,1200,14.0,67.0,3.5, 993, 55,15,SCS,    ,,,,,,,
1998-12-14,199810,ARB,,1800,14.5,67.0,3.5, 993, 55,15,SCS,    ,,,,,,,
1998-12-15,199810,ARB,,0000,15.0,67.0,3.5, 993, 55,15,SCS,    ,,,,,,,
1998-12-15,199810,ARB,,0300,16.0,66.0,3.5, 993, 55,15,SCS,    ,,,,,,,
1998-12-15,199810,ARB,,0600,16.5,65.5,3.5, 993, 55,15,SCS,    ,,,,,,,
1998-12-15,199810,ARB,,0900,16.5,65.0,3.0, 993, 55,15,SCS,    ,,,,,,,
1998-12-15,199810,ARB,,1200,17.0,64.4,3.0, 993, 55,15,SCS,    ,,,,,,,
1998-12-15,199810,ARB,,1800,17.3,64.0,3.0, 993, 55,15,SCS,    ,,,,,,,
1998-12-16,199810,ARB,,0000,17.5,63.5,3.0, 993, 55,15,SCS,    ,,,,,,,
1998-12-16,199810,ARB,,0300,18.0,62.5,2.5, 998, 45,10,CS,    ,,,,,,,
1998-12-16,199810,ARB,,0600,18.5,61.5,2.5, 998, 35,10,CS,    ,,,,,,,
1998-12-16,199810,ARB,,0900,18.5,61.0,2.0,1002, 30, 6,DD,    ,,,,,,,
1998-12-16,199810,ARB,,1200,19.0,60.0,1.5,1004, 25, 4,D,    ,,,,,,,
1998-12-16,199810,ARB,,1800,19.5,59.5,1.5,-, 25, 4,D,    ,,,,,,,
1998-12-17,199810,ARB,,0000,19.5,59.0,1.5,-, 25, 4,D,    ,,,,,,,
1998-12-17,199810,ARB,,0300,19.5,59.0,1.5,-, 25, 4,D,    ,,,,,,,
1999-05-16,199902,ARB,,1200.0,12.5,72.0,1.5,1000, 25, 4,D,    ,,,,,,,
1999-05-16,199902,ARB,,1500.0,12.7,71.8,1.5,1000, 25, 4,D,    ,,,,,,,
1999-05-16,199902,ARB,,1800.0,12.9,71.6,2.0,1000, 25, 6,DD,    ,,,,,,,
1999-05-16,199902,ARB,,2100.0,13.0,71.5,2.0, 998, 30, 8,DD,    ,,,,,,,
1999-05-17,199902,ARB,,0.0,13.5,71.0,2.0, 998, 30, 8,DD,    ,,,,,,,
1999-05-17,199902,ARB,,300.0,14.5,70.5,2.5, 996, 35,10,CS,    ,,,,,,,
1999-05-17,199902,ARB,,600.0,15.0,70.0,3.0, 996, 45,10,CS,    ,,,,,,,
1999-05-17,199902,ARB,,900.0,15.0,69.5,3.5, 992, 55,16,SCS,    ,,,,,,,
1999-05-17,199902,ARB,,1200.0,15.0,69.5,4.0, 984, 64,20,VSCS,    ,,,,,,,
1999-05-17,199902,ARB,,1500.0,15.5,69.0,4.0, 984, 64,20,VSCS,    ,,,,,,,
1999-05-17,199902,ARB,,1800.0,16.0,68.5,4.0, 984, 64,20,VSCS,    ,,,,,,,
1999-05-17,199902,ARB,,2100.0,16.0,68.5,4.0, 980, 64,26,VSCS,    ,,,,,,,
1999-05-18,199902,ARB,,0.0,16.5,68.5,4.5, 976, 80,30,VSCS,    ,,,,,,,
1999-05-18,199902,ARB,,300.0,17.0,67.5,4.5, 976, 80,30,VSCS,    ,,,,,,,
1999-05-18,199902,ARB,,600.0,18.0,67.5,5.0, 964, 90,40,ESCS,    ,,,,,,,
1999-05-18,199902,ARB,,900.0,17.8,67.6,5.0, 964, 90,40,ESCS,    ,,,,,,,
1999-05-18,199902,ARB,,1200.0,18.5,67.5,5.5, 950,105,52,ESCS,    ,,,,,,,
1999-05-18,199902,ARB,,1500.0,18.5,67.5,5.5, 948,105,52,ESCS,    ,,,,,,,
1999-05-18,199902,ARB,,1800.0,19.0,67.5,5.5, 948,105,54,ESCS,    ,,,,,,,
1999-05-18,199902,ARB,,2100.0,20.0,67.5,5.5, 948,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,0.0,20.5,67.5,5.5, 948,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,300.0,21.0,67.5,5.5, 948,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,600.0,21.0,67.5,5.5, 948,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,900.0,21.0,67.5,5.5, 948,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,1200.0,21.5,67.5,5.5, 946,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,1500.0,22.0,67.5,5.5, 946,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,1800.0,22.5,67.5,5.5, 946,105,54,ESCS,    ,,,,,,,
1999-05-19,199902,ARB,,2100.0,23.0,67.5,5.5, 946,105,54,ESCS,    ,,,,,,,
1999-05-20,199902,ARB,,0.0,23.3,67.5,5.5, 946,105,56,ESCS,    ,,,,,,,
1999-05-20,199902,ARB,,300.0,23.5,68.5,5.5, 946,105,54,ESCS,    ,,,,,,,
1999-05-20,199902,ARB,,600.0,23.7,68.5,5.5, 946,105,52,ESCS,    ,,,,,,,
1999-05-20,199902,ARB,,1200.0,24.5,68.0,-,-,-,-,VSCS,    over land,,,,,,,
1999-05-20,199902,ARB,,1800.0,24.7,68.7,-,-,-,-,VSCS,    over land,,,,,,,
1999-05-21,199902,ARB,,0.0,25.0,69.0,-,-,-,-,SCS,    over land,,,,,,,
1999-05-21,199902,ARB,,300.0,25.0,69.0,-,-,-,-,CS,    over land,,,,,,,
1999-05-21,199902,ARB,,600.0,25.0,69.5,-,-,-,-,CS,    over land,,,,,,,
1999-05-21,199902,ARB,,1200.0,25.5,70.0,-,-,-,-,CS,    over land,,,,,,,
1999-05-21,199902,ARB,,1800.0,26.0,70.5,-,-,-,-,CS,    over land,,,,,,,
1999-05-22,199902,ARB,,0.0,26.5,71.0,-,-,-,-,CS,    over land,,,,,,,
1999-05-22,199902,ARB,,300.0,27.0,71.0,-,-,-,-,DD,    over land,,,,,,,
1999-05-22,199902,ARB,,600.0,27.3,72.0,-,-,-,-,DD,    over land,,,,,,,
1999-05-22,199902,ARB,,1200.0,27.5,72.0,-,-,-,-,D,    over land,,,,,,,
2001-05-21,200101,ARB,,1200.0,13.5,69.0,1.5,1000, 25,,D,    ,,,,,,4.0,
2001-05-21,200101,ARB,,1800.0,13.5,70.0,1.5,1000, 25,,D,    ,,,,,,4.0,
2001-05-21,200101,ARB,,2100.0,13.5,70.0,2.0, 998, 30,,DD,    ,,,,,,6.0,
2001-05-22,200101,ARB,,0.0,14.0,71.0,2.0, 998, 30,,DD,    ,,,,,,6.0,
2001-05-22,200101,ARB,,300.0,14.0,71.5,2.5, 996, 40,,CS,    ,,,,,,8.0,
2001-05-22,200101,ARB,,600.0,14.0,71.5,3.0, 996, 45,,CS,    ,,,,,,10.0,
2001-05-22,200101,ARB,,900.0,14.0,71.5,3.0, 994, 45,,CS,    ,,,,,,10.0,
2001-05-22,200101,ARB,,1200.0,14.0,71.5,3.0, 992, 45,,CS,    ,,,,,,12.0,
2001-05-22,200101,ARB,,1500.0,14.0,71.5,3.5, 990, 55,,SCS,    ,,,,,,14.0,
2001-05-22,200101,ARB,,1800.0,14.0,71.5,3.5, 988, 55,,SCS,    ,,,,,,16.0,
2001-05-22,200101,ARB,,2100.0,14.5,71.5,4.0, 982, 65,,VSCS,    ,,,,,,22.0,
2001-05-23,200101,ARB,,0.0,14.5,71.5,4.0, 980, 65,,VSCS,    ,,,,,,22.0,
2001-05-23,200101,ARB,,300.0,15.0,71.5,4.5, 974, 77,,VSCS,    ,,,,,,30.0,
2001-05-23,200101,ARB,,600.0,15.5,71.0,5.0, 964, 90,,ESCS,    ,,,,,,40.0,
2001-05-23,200101,ARB,,900.0,16.0,71.0,5.0, 962, 90,,ESCS,    ,,,,,,40.0,
2001-05-23,200101,ARB,,1200.0,16.0,70.5,5.0, 960, 90,,ESCS,    ,,,,,,40.0,
2001-05-23,200101,ARB,,1500.0,16.0,70.5,5.0, 962, 90,,ESCS,    ,,,,,,40.0,
2001-05-23,200101,ARB,,1800.0,16.0,70.5,5.0, 962, 90,,ESCS,    ,,,,,,40.0,
2001-05-23,200101,ARB,,2100.0,16.0,70.0,5.0, 960, 90,,ESCS,    ,,,,,,40.0,
2001-05-24,200101,ARB,,0.0,16.0,69.5,5.0, 960, 90,,ESCS,    ,,,,,,40.0,
2001-05-24,200101,ARB,,300.0,16.5,69.5,5.5, 950,102,,ESCS,    ,,,,,,52.0,
2001-05-24,200101,ARB,,600.0,17.0,69.0,5.5, 946,102,,ESCS,    ,,,,,,52.0,
2001-05-24,200101,ARB,,900.0,17.0,68.5,6.0, 932,115,,ESCS,    ,,,,,,66.0,
2001-05-24,200101,ARB,,1200.0,17.0,68.5,6.0, 932,115,,ESCS,    ,,,,,,66.0,
2001-05-24,200101,ARB,,1500.0,17.0,68.5,6.0, 932,115,,ESCS,    ,,,,,,66.0,
2001-05-24,200101,ARB,,1800.0,17.0,68.5,6.0, 932,115,,ESCS,    ,,,,,,66.0,
2001-05-24,200101,ARB,,2100.0,17.0,68.0,6.0, 932,115,,ESCS,    ,,,,,,66.0,
2001-05-25,200101,ARB,,0.0,17.0,67.5,6.0, 932,115,,ESCS,    ,,,,,,66.0,
2001-05-25,200101,ARB,,300.0,17.0,68.0,5.5, 948,102,,ESCS,    ,,,,,,52.0,
2001-05-25,200101,ARB,,600.0,17.0,68.0,5.0, 960, 90,,ESCS,    ,,,,,,40.0,
2001-05-25,200101,ARB,,900.0,17.0,68.0,5.0, 960, 90,,ESCS,    ,,,,,,40.0,
2001-05-25,200101,ARB,,1200.0,17.2,67.5,4.5, 968, 77,,VSCS,    ,,,,,,30.0,
2001-05-25,200101,ARB,,1500.0,17.0,68.0,4.5, 968, 77,,VSCS,    ,,,,,,30.0,
2001-05-25,200101,ARB,,1800.0,17.0,68.0,4.5, 970, 77,,VSCS,    ,,,,,,30.0,
2001-05-25,200101,ARB,,2100.0,17.0,67.5,4.5, 970, 77,,VSCS,    ,,,,,,30.0,
2001-05-26,200101,ARB,,0.0,17.5,67.5,4.0, 976, 65,,VSCS,    ,,,,,,20.0,
2001-05-26,200101,ARB,,300.0,17.5,67.5,3.5, 982, 55,,SCS,    ,,,,,,16.0,
2001-05-26,200101,ARB,,600.0,17.5,67.5,3.5, 984, 55,,SCS,    ,,,,,,16.0,
2001-05-26,200101,ARB,,900.0,17.5,67.5,3.5, 984, 55,,SCS,    ,,,,,,16.0,
2001-05-26,200101,ARB,,1200.0,17.5,67.5,3.5, 982, 55,,SCS,    ,,,,,,16.0,
2001-05-26,200101,ARB,,1500.0,17.5,67.5,3.5, 982, 55,,SCS,    ,,,,,,16.0,
2001-05-26,200101,ARB,,1800.0,17.5,67.5,3.5, 982, 55,,SCS,    ,,,,,,16.0,
2001-05-26,200101,ARB,,2100.0,18.0,67.5,3.5, 982, 55,,SCS,    ,,,,,,16.0,
2001-05-27,200101,ARB,,0.0,18.0,67.5,3.5, 984, 55,,SCS,    ,,,,,,16.0,
2001-05-27,200101,ARB,,300.0,18.0,67.5,3.0, 986, 45,,CS,    ,,,,,,12.0,
2001-05-27,200101,ARB,,600.0,18.0,67.5,3.0, 986, 45,,CS,    ,,,,,,10.0,
2001-05-27,200101,ARB,,900.0,18.0,67.5,3.0, 986, 45,,CS,    ,,,,,,10.0,
2001-05-27,200101,ARB,,1200.0,19.0,67.5,3.0, 988, 45,,CS,    ,,,,,,8.0,
2001-05-27,200101,ARB,,1500.0,19.0,68.0,2.5, 994, 35,,CS,    ,,,,,,8.0,
2001-05-27,200101,ARB,,1800.0,19.0,68.0,2.5, 994, 35,,CS,    ,,,,,,8.0,
2001-05-27,200101,ARB,,2100.0,19.5,68.0,2.5, 994, 35,,CS,    ,,,,,,8.0,
2001-05-28,200101,ARB,,0.0,19.5,68.0,2.5, 994, 35,,CS,    ,,,,,,8.0,
2001-05-28,200101,ARB,,300.0,20.0,68.0,2.5, 994, 35,,CS,    ,,,,,,8.0,
2001-05-28,200101,ARB,,600.0,20.0,68.0,2.5, 996, 35,,CS,    ,,,,,,8.0,
2001-05-28,200101,ARB,,900.0,20.0,68.0,2.5, 996, 35,,CS,    ,,,,,,8.0,
2001-05-28,200101,ARB,,1200.0,21.0,68.5,2.0, 996, 30,,DD,    ,,,,,,6.0,
2001-05-28,200101,ARB,,1500.0,21.0,68.5,2.0, 996, 30,,DD,    ,,,,,,6.0,
2001-05-28,200101,ARB,,1800.0,21.5,69.0,1.5, 998, 25,,D,    ,,,,,,4.0,
2001-05-28,200101,ARB,,2100.0,21.5,69.0,1.5, 998, 25,,D,    ,,,,,,4.0,
2001-05-29,200101,ARB,,0.0,21.5,69.0,1.5, 998, 25,,D,    ,,,,,,4.0,
2001-09-24,200103,ARB,,900.0,17.0,69.5,1.5,1006, 25,,D,    ,,,,,,2.0,
2001-09-24,200103,ARB,,1200.0,17.0,69.5,1.5,1006, 25,,D,    ,,,,,,2.0,
2001-09-24,200103,ARB,,1800.0,17.0,69.0,2.0,1004, 30,,DD,    ,,,,,,4.0,
2001-09-25,200103,ARB,,0.0,17.0,69.0,2.0,1004, 30,,DD,    ,,,,,,4.0,
2001-09-25,200103,ARB,,300.0,17.0,68.5,2.0,1004, 30,,DD,    ,,,,,,4.0,
2001-09-25,200103,ARB,,600.0,17.0,68.0,2.0,1000, 30,,DD,    ,,,,,,4.0,
2001-09-25,200103,ARB,,900.0,17.0,68.0,2.0,1000, 30,,DD,    ,,,,,,4.0,
2001-09-25,200103,ARB,,1200.0,17.0,68.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-25,200103,ARB,,1500.0,17.0,68.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-25,200103,ARB,,1800.0,17.0,68.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-25,200103,ARB,,2100.0,17.0,69.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,0.0,17.0,68.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,300.0,18.0,67.5,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,600.0,17.5,67.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,900.0,18.0,66.5,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,1200.0,18.3,66.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,1500.0,18.5,66.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,1800.0,18.5,65.5,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-26,200103,ARB,,2100.0,18.5,65.5,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-27,200103,ARB,,0.0,18.5,65.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-27,200103,ARB,,300.0,18.5,64.0,2.5,1000, 35,,CS,    ,,,,,,6.0,
2001-09-27,200103,ARB,,600.0,18.5,64.0,2.5,1004, 35,,CS,    ,,,,,,6.0,
2001-09-27,200103,ARB,,1200.0,18.5,63.5,2.0,1006, 30,,DD,    ,,,,,,4.0,
2001-09-27,200103,ARB,,1800.0,18.5,63.0,2.0,1006, 30,,DD,    ,,,,,,4.0,
2001-09-27,200103,ARB,,2100.0,18.5,62.5,1.5,1008, 25,,D,    ,,,,,,4.0,
2001-10-08,200104,ARB,,2100.0,18.3,71.0,1.5,1004, 25,,D,    ,,,,,,4.0,
2001-10-09,200104,ARB,,0.0,18.5,70.5,1.5,1004, 25,,D,    ,,,,,,4.0,
2001-10-09,200104,ARB,,300.0,18.5,70.0,2.0,1002, 30,,DD,    ,,,,,,6.0,
2001-10-09,200104,ARB,,600.0,18.5,69.0,2.0,1000, 30,,DD,    ,,,,,,6.0,
2001-10-09,200104,ARB,,900.0,19.0,68.5,2.5, 998, 35,,CS,    ,,,,,,6.0,
2001-10-09,200104,ARB,,1200.0,19.0,68.0,2.5, 998, 30,,CS,    ,,,,,,6.0,
2001-10-09,200104,ARB,,1500.0,19.0,68.0,2.5, 998, 35,,CS,    ,,,,,,6.0,
