,CS_ID,CLASS
0,1982309N12066,NON-MHW
1,1998152N11075,MHW
2,1999135N12073,NON-MHW
3,2001141N14068,MHW
4,2007151N14072,NON-MHW
5,2010151N14065,OTHER
6,2014297N11062,MHW
7,2015301N11065,OTHER
8,2015309N14067,OTHER
9,2017333N06082,OTHER
10,2018136N11054,NON-MHW
11,2018279N11069,MHW
12,2019160N11073,MHW
13,2019264N19071,NON-MHW
14,2019296N15066,OTHER
15,2019301N05081,NON-MHW
16,2021133N10071,MHW
