DATETIME,CAT,CS_ID,LAT,LON,MSWS,ORIGIN_BASIN,TimeRelativeToLMI,TC_MHWINT_CLASS
2015-07-28 12:00:00,D,201506,21.5,90.2,25.0,BOB,-1.75,MHW
2015-07-28 18:00:00,D,201506,21.3,90.6,25.0,BOB,-1.5,MHW
2015-07-29 00:00:00,DD,201506,21.0,91.0,30.0,BOB,-1.25,MHW
2015-07-29 03:00:00,DD,201506,21.1,91.0,30.0,BOB,-1.125,MHW
2015-07-29 06:00:00,DD,201506,21.2,91.1,30.0,BOB,-1.0,MHW
2015-07-29 12:00:00,DD,201506,21.5,91.4,30.0,BOB,-0.75,MHW
2015-07-29 18:00:00,CS,201506,21.6,91.4,35.0,BOB,-0.5,MHW
2015-07-30 00:00:00,CS,201506,21.7,91.4,35.0,BOB,-0.25,MHW
2015-07-30 03:00:00,CS,201506,22.0,91.4,35.0,BOB,-0.125,MHW
2015-07-30 06:00:00,CS,201506,22.2,91.4,40.0,BOB,0.0,MHW
2015-07-30 09:00:00,CS,201506,22.3,91.4,40.0,BOB,0.125,MHW
2015-07-30 12:00:00,CS,201506,22.4,91.4,35.0,BOB,0.25,MHW
2015-07-30 15:00:00,CS,201506,22.6,91.3,35.0,BOB,0.375,MHW
2015-07-30 18:00:00,CS,201506,22.8,91.1,35.0,BOB,0.5,MHW
2015-07-30 21:00:00,DD,201506,23.0,91.0,30.0,BOB,0.625,MHW
2015-07-31 00:00:00,DD,201506,23.1,90.0,30.0,BOB,0.75,MHW
2015-07-31 03:00:00,DD,201506,23.1,90.0,30.0,BOB,0.875,MHW
2015-07-31 06:00:00,DD,201506,23.1,89.8,30.0,BOB,1.0,MHW
2015-07-31 12:00:00,D,201506,23.1,89.5,25.0,BOB,1.25,MHW
2015-07-31 18:00:00,D,201506,23.1,89.4,25.0,BOB,1.5,MHW
2015-08-01 00:00:00,D,201506,23.2,89.2,20.0,BOB,1.75,MHW
2015-08-01 03:00:00,D,201506,23.2,89.2,20.0,BOB,1.875,MHW
2015-08-01 06:00:00,D,201506,23.5,88.8,20.0,BOB,2.0,MHW
2015-08-01 12:00:00,D,201506,23.8,88.4,20.0,BOB,2.25,MHW
2015-08-01 18:00:00,D,201506,23.8,87.5,20.0,BOB,2.5,MHW
2015-08-02 00:00:00,D,201506,23.8,86.7,20.0,BOB,2.75,MHW
2015-08-02 03:00:00,D,201506,23.5,86.0,20.0,BOB,2.875,MHW
2015-08-02 06:00:00,D,201506,23.3,85.7,20.0,BOB,3.0,MHW
2015-08-02 09:00:00,D,201506,23.1,85.5,20.0,BOB,3.125,MHW
2016-05-17 03:00:00,D,201601,11.0,81.0,25.0,BOB,-3.625,MHW
2016-05-17 06:00:00,D,201601,11.3,80.9,25.0,BOB,-3.5,MHW
2016-05-17 12:00:00,D,201601,12.0,80.7,25.0,BOB,-3.25,MHW
2016-05-17 18:00:00,D,201601,12.5,80.7,25.0,BOB,-3.0,MHW
2016-05-18 00:00:00,D,201601,13.0,80.8,25.0,BOB,-2.75,MHW
2016-05-18 03:00:00,DD,201601,13.3,81.0,30.0,BOB,-2.625,MHW
2016-05-18 06:00:00,DD,201601,13.8,81.0,30.0,BOB,-2.5,MHW
2016-05-18 12:00:00,DD,201601,14.4,81.0,30.0,BOB,-2.25,MHW
2016-05-18 18:00:00,DD,201601,14.4,81.0,30.0,BOB,-2.0,MHW
2016-05-19 00:00:00,CS,201601,15.1,81.4,35.0,BOB,-1.75,MHW
2016-05-19 03:00:00,CS,201601,15.6,81.6,35.0,BOB,-1.625,MHW
2016-05-19 06:00:00,CS,201601,15.6,81.6,40.0,BOB,-1.5,MHW
2016-05-19 12:00:00,CS,201601,16.0,81.9,40.0,BOB,-1.25,MHW
2016-05-19 15:00:00,CS,201601,16.2,82.2,40.0,BOB,-1.125,MHW
2016-05-19 18:00:00,CS,201601,16.4,82.6,40.0,BOB,-1.0,MHW
2016-05-19 21:00:00,CS,201601,16.8,82.8,40.0,BOB,-0.875,MHW
2016-05-20 00:00:00,CS,201601,17.2,83.3,40.0,BOB,-0.75,MHW
2016-05-20 03:00:00,CS,201601,18.0,84.2,40.0,BOB,-0.625,MHW
2016-05-20 06:00:00,CS,201601,18.4,84.6,40.0,BOB,-0.5,MHW
2016-05-20 09:00:00,CS,201601,18.8,85.0,40.0,BOB,-0.375,MHW
2016-05-20 12:00:00,CS,201601,19.7,86.5,40.0,BOB,-0.25,MHW
2016-05-20 15:00:00,CS,201601,20.1,87.1,40.0,BOB,-0.125,MHW
2016-05-20 18:00:00,CS,201601,20.4,87.7,45.0,BOB,0.0,MHW
2016-05-20 21:00:00,CS,201601,20.7,88.4,45.0,BOB,0.125,MHW
2016-05-21 00:00:00,CS,201601,21.0,89.0,45.0,BOB,0.25,MHW
2016-05-21 03:00:00,CS,201601,21.5,90.3,45.0,BOB,0.375,MHW
2016-05-21 06:00:00,CS,201601,21.9,91.0,45.0,BOB,0.5,MHW
2016-05-21 09:00:00,CS,201601,22.5,91.5,45.0,BOB,0.625,MHW
2016-05-21 12:00:00,CS,201601,22.8,92.0,35.0,BOB,0.75,MHW
2016-05-21 15:00:00,DD,201601,23.5,93.0,30.0,BOB,0.875,MHW
2016-05-21 18:00:00,DD,201601,24.0,94.0,30.0,BOB,1.0,MHW
2016-05-22 00:00:00,D,201601,24.5,94.7,20.0,BOB,1.25,MHW
2016-10-21 00:00:00,D,201606,13.5,88.5,25.0,BOB,-5.0,OTHER
2016-10-21 03:00:00,D,201606,13.6,88.8,25.0,BOB,-4.875,OTHER
2016-10-21 06:00:00,D,201606,13.7,89.3,25.0,BOB,-4.75,OTHER
2016-10-21 12:00:00,D,201606,13.9,89.8,25.0,BOB,-4.5,OTHER
2016-10-21 18:00:00,D,201606,13.9,89.9,25.0,BOB,-4.25,OTHER
2016-10-22 00:00:00,D,201606,13.9,90.0,25.0,BOB,-4.0,OTHER
2016-10-22 03:00:00,D,201606,14.0,90.5,25.0,BOB,-3.875,OTHER
2016-10-22 06:00:00,D,201606,14.5,91.3,25.0,BOB,-3.75,OTHER
2016-10-22 12:00:00,D,201606,14.9,92.0,25.0,BOB,-3.5,OTHER
2016-10-22 18:00:00,D,201606,15.2,92.5,25.0,BOB,-3.25,OTHER
2016-10-23 00:00:00,D,201606,15.5,93.0,25.0,BOB,-3.0,OTHER
2016-10-23 03:00:00,DD,201606,15.5,93.0,30.0,BOB,-2.875,OTHER
2016-10-23 06:00:00,DD,201606,15.5,93.0,30.0,BOB,-2.75,OTHER
2016-10-23 12:00:00,DD,201606,15.7,93.1,30.0,BOB,-2.5,OTHER
2016-10-23 18:00:00,DD,201606,16.0,93.2,30.0,BOB,-2.25,OTHER
2016-10-24 00:00:00,DD,201606,16.4,93.2,30.0,BOB,-2.0,OTHER
2016-10-24 03:00:00,DD,201606,16.4,93.2,30.0,BOB,-1.875,OTHER
2016-10-24 06:00:00,DD,201606,16.5,93.1,30.0,BOB,-1.75,OTHER
2016-10-24 12:00:00,DD,201606,16.7,92.7,30.0,BOB,-1.5,OTHER
2016-10-24 18:00:00,DD,201606,16.8,92.3,30.0,BOB,-1.25,OTHER
2016-10-25 00:00:00,DD,201606,16.9,91.7,30.0,BOB,-1.0,OTHER
2016-10-25 03:00:00,CS,201606,17.0,91.2,35.0,BOB,-0.875,OTHER
2016-10-25 06:00:00,CS,201606,17.0,90.9,35.0,BOB,-0.75,OTHER
2016-10-25 09:00:00,CS,201606,16.8,90.6,35.0,BOB,-0.625,OTHER
2016-10-25 12:00:00,CS,201606,16.9,90.5,35.0,BOB,-0.5,OTHER
2016-10-25 15:00:00,CS,201606,16.7,90.2,35.0,BOB,-0.375,OTHER
2016-10-25 18:00:00,CS,201606,16.7,89.8,35.0,BOB,-0.25,OTHER
2016-10-25 21:00:00,CS,201606,16.5,89.6,35.0,BOB,-0.125,OTHER
2016-10-26 00:00:00,CS,201606,16.6,89.0,40.0,BOB,0.0,OTHER
2016-10-26 03:00:00,CS,201606,16.6,88.5,40.0,BOB,0.125,OTHER
2016-10-26 06:00:00,CS,201606,16.5,88.0,40.0,BOB,0.25,OTHER
2016-10-26 09:00:00,CS,201606,16.4,87.5,40.0,BOB,0.375,OTHER
2016-10-26 12:00:00,CS,201606,16.3,87.0,40.0,BOB,0.5,OTHER
2016-10-26 15:00:00,CS,201606,16.2,86.6,40.0,BOB,0.625,OTHER
2016-10-26 18:00:00,CS,201606,16.1,86.4,35.0,BOB,0.75,OTHER
2016-10-26 21:00:00,DD,201606,15.9,85.9,30.0,BOB,0.875,OTHER
2016-10-27 00:00:00,DD,201606,15.7,85.5,30.0,BOB,1.0,OTHER
2016-10-27 03:00:00,DD,201606,15.6,85.0,30.0,BOB,1.125,OTHER
2016-10-27 06:00:00,DD,201606,15.6,84.5,30.0,BOB,1.25,OTHER
2016-10-27 12:00:00,DD,201606,15.5,83.5,30.0,BOB,1.5,OTHER
2016-10-27 18:00:00,D,201606,15.4,83.0,25.0,BOB,1.75,OTHER
2016-11-29 12:00:00,D,201608,6.5,87.5,25.0,BOB,-1.0,NON-MHW
2016-11-29 18:00:00,D,201608,7.2,86.7,25.0,BOB,-0.75,NON-MHW
2016-11-30 00:00:00,DD,201608,7.8,85.7,30.0,BOB,-0.5,NON-MHW
2016-11-30 03:00:00,CS,201608,8.2,85.3,35.0,BOB,-0.375,NON-MHW
2016-11-30 06:00:00,CS,201608,8.7,85.0,35.0,BOB,-0.25,NON-MHW
2016-11-30 09:00:00,CS,201608,9.5,84.3,35.0,BOB,-0.125,NON-MHW
2016-11-30 12:00:00,CS,201608,9.8,84.0,40.0,BOB,0.0,NON-MHW
2016-11-30 15:00:00,CS,201608,10.0,83.5,40.0,BOB,0.125,NON-MHW
2016-11-30 18:00:00,CS,201608,10.3,83.0,40.0,BOB,0.25,NON-MHW
2016-11-30 21:00:00,CS,201608,10.4,82.0,40.0,BOB,0.375,NON-MHW
2016-12-01 00:00:00,CS,201608,10.4,81.8,35.0,BOB,0.5,NON-MHW
2016-12-01 03:00:00,DD,201608,10.4,81.7,30.0,BOB,0.625,NON-MHW
2016-12-01 06:00:00,DD,201608,10.6,81.2,30.0,BOB,0.75,NON-MHW
2016-12-01 12:00:00,DD,201608,10.7,80.7,30.0,BOB,1.0,NON-MHW
2016-12-01 18:00:00,D,201608,10.8,80.2,25.0,BOB,1.25,NON-MHW
2016-12-02 00:00:00,D,201608,10.8,79.7,25.0,BOB,1.5,NON-MHW
2016-12-06 09:00:00,D,201609,8.5,91.0,25.0,BOB,-4.625,OTHER
2016-12-06 12:00:00,D,201609,8.5,90.5,25.0,BOB,-4.5,OTHER
2016-12-06 18:00:00,D,201609,9.5,90.5,25.0,BOB,-4.25,OTHER
2016-12-07 00:00:00,D,201609,9.8,90.5,25.0,BOB,-4.0,OTHER
2016-12-07 03:00:00,D,201609,9.8,90.5,25.0,BOB,-3.875,OTHER
