,CS_ID,CLASS
0,200702,NON-MHW
1,201003,OTHER
2,201404,MHW
3,201504,MHW
4,201505,OTHER
5,201801,OTHER
6,201802,NON-MHW
7,201805,MHW
8,201902,MHW
9,201903,NON-MHW
10,201904,NON-MHW
11,201905,NON-MHW
12,202002,NON-MHW
13,202003,NON-MHW
14,202101,MHW
15,202302,MHW
16,202305,MHW
