IO, 02, 1983100100,   , BEST,   0, 182N,  886E,  25
IO, 02, 1983100106,   , BEST,   0, 181N,  883E,  25
IO, 02, 1983100112,   , BEST,   0, 181N,  879E,  30
IO, 02, 1983100118,   , BEST,   0, 180N,  876E,  30
IO, 02, 1983100200,   , BEST,   0, 180N,  872E,  30
IO, 02, 1983100206,   , BEST,   0, 179N,  867E,  30
IO, 02, 1983100212,   , BEST,   0, 179N,  862E,  30
IO, 02, 1983100218,   , BEST,   0, 179N,  857E,  35
IO, 02, 1983100300,   , BEST,   0, 179N,  852E,  45
IO, 02, 1983100306,   , BEST,   0, 179N,  848E,  50
IO, 02, 1983100312,   , BEST,   0, 179N,  843E,  50
IO, 02, 1983100318,   , BEST,   0, 180N,  833E,  50
IO, 02, 1983100400,   , BEST,   0, 185N,  823E,  45
